student_id,student_name,attendance_percentage,internal_marks,assignment_submission_rate,semester,risk_score,risk_level
STU0001,Allison Hill,84.9,98.5,66.5,2,28.55,Low
STU0002,Noah Rhodes,70.3,100.0,64.1,1,26.72,Low
STU0003,Angie Henderson,65.6,79.4,83.6,5,20.61,Low
STU0004,Daniel Wagner,79.8,52.5,22.2,4,37.0,Moderate
STU0005,Cristian Santos,54.7,68.4,77.9,4,21.06,Low
STU0006,Connie Lawrence,100.0,93.9,64.4,3,-4.67,Low
STU0007,Abigail Shaffer,64.1,66.5,72.8,2,36.95,Moderate
STU0008,Gina Moore,63.0,72.4,62.7,2,51.82,Moderate
STU0009,Gabrielle Davis,74.7,93.5,43.6,7,11.8,Low
STU0010,Ryan Munoz,79.2,58.0,21.0,1,42.88,Moderate
STU0011,Monica Herrera,89.8,90.1,74.3,1,10.2,Low
STU0012,Jamie Arnold,45.4,67.1,52.0,2,55.15,High
STU0013,Lisa Hensley,81.9,84.6,25.9,4,24.37,Low
STU0014,Michele Williams,61.5,100.0,85.3,4,27.67,Low
STU0015,Dylan Miller,58.2,84.9,62.3,1,40.06,Moderate
STU0016,Brian Ramirez,65.4,66.1,65.4,4,22.36,Low
STU0017,Holly Wood,91.3,96.3,100.0,7,15.02,Low
STU0018,Derek Zuniga,82.2,90.9,53.9,4,35.37,Moderate
STU0019,Lisa Jackson,74.3,53.0,100.0,8,37.31,Moderate
STU0020,Carla Gray,76.7,86.9,62.5,5,2.16,Low
STU0021,Margaret Hawkins DDS,70.6,100.0,78.9,1,10.79,Low
STU0022,Patty Perez,58.8,92.9,57.5,3,31.12,Low
STU0023,Ethan Adams,64.4,87.3,82.8,7,32.42,Low
STU0024,Tommy Walter,61.0,74.8,61.8,6,18.71,Low
STU0025,Matthew Foster,80.9,89.7,76.5,5,14.12,Low
STU0026,Judy Baker,46.7,70.8,59.5,3,33.1,Low
STU0027,Justin Baker,71.8,100.0,80.1,4,17.02,Low
STU0028,Stephanie Ross,80.2,58.9,68.1,6,30.49,Low
STU0029,Zachary Hicks,76.2,90.0,100.0,2,16.54,Low
STU0030,Anthony Rodriguez,74.3,97.6,40.8,2,30.6,Low
STU0031,Rebecca Henderson,90.8,100.0,47.3,7,0.2,Low
STU0032,James Ferrell,86.7,81.2,100.0,2,7.18,Low
STU0033,Tricia Valencia,77.0,61.3,57.4,6,33.88,Low
STU0034,Nathan Maldonado,53.8,68.7,81.8,6,50.15,Moderate
STU0035,Debra Davidson,59.3,92.4,61.9,5,14.61,Low
STU0036,Jeffrey Chavez,79.5,69.8,100.0,1,22.13,Low
STU0037,Sherri Baker,80.2,73.4,89.5,8,7.44,Low
STU0038,Cassandra Gaines,85.4,94.9,77.4,2,15.85,Low
STU0039,Elizabeth Fowler,61.4,88.0,75.8,7,17.94,Low
STU0040,Brittany Farmer,100.0,78.5,81.8,2,18.8,Low
STU0041,Paula Moreno,55.5,100.0,89.7,5,11.66,Low
STU0042,Fred Smith,94.3,100.0,80.3,6,25.2,Low
STU0043,Sherry Decker,70.1,67.9,51.2,4,26.41,Low
STU0044,Anthony Humphrey,73.5,91.9,78.5,2,26.43,Low
